snapshot_date,snapshot_label,ticker,company_name,in_index
2015-12-14,post-2015-review,1332,NISSUI CORP.,1
2015-12-14,post-2015-review,1333,MARUHA NICHIRO CORP.,1
2015-12-14,post-2015-review,1605,INPEX CORP.,1
2015-12-14,post-2015-review,1721,COMSYS HOLDINGS CORP.,1
2015-12-14,post-2015-review,1801,TAISEI CORP.,1
2015-12-14,post-2015-review,1802,OBAYASHI CORP.,1
2015-12-14,post-2015-review,1803,SHIMIZU CORP.,1
2015-12-14,post-2015-review,1808,HASEKO CORP.,1
2015-12-14,post-2015-review,1812,KAJIMA CORP.,1
2015-12-14,post-2015-review,1925,"DAIWA HOUSE IND. CO., LTD.",1
2015-12-14,post-2015-review,1928,"SEKISUI HOUSE, LTD.",1
2015-12-14,post-2015-review,1963,JGC HOLDINGS CORP.,1
2015-12-14,post-2015-review,2002,NISSHIN SEIFUN GROUP INC.,1
2015-12-14,post-2015-review,2269,"MEIJI HOLDINGS CO., LTD.",1
2015-12-14,post-2015-review,2282,NH FOODS LTD.,1
2015-12-14,post-2015-review,2413,"M3, INC.",0
2015-12-14,post-2015-review,2432,"DENA CO., LTD.",1
2015-12-14,post-2015-review,2501,SAPPORO HOLDINGS LTD.,1
2015-12-14,post-2015-review,2502,"ASAHI GROUP HOLDINGS, LTD.",1
2015-12-14,post-2015-review,2503,"KIRIN HOLDINGS CO., LTD.",1
2015-12-14,post-2015-review,2531,TAKARA HOLDINGS INC.,1
2015-12-14,post-2015-review,2768,SOJITZ CORP.,1
2015-12-14,post-2015-review,2801,KIKKOMAN CORP.,1
2015-12-14,post-2015-review,2802,"AJINOMOTO CO., INC.",1
2015-12-14,post-2015-review,2871,NICHIREI CORP.,1
2015-12-14,post-2015-review,2914,JAPAN TOBACCO INC.,1
2015-12-14,post-2015-review,3086,"J.FRONT RETAILING CO., LTD.",1
2015-12-14,post-2015-review,3092,"ZOZO, INC.",0
2015-12-14,post-2015-review,3099,ISETAN MITSUKOSHI HOLDINGS LTD.,1
2015-12-14,post-2015-review,3101,"TOYOBO CO., LTD.",1
2015-12-14,post-2015-review,3103,"UNITIKA, LTD.",1
2015-12-14,post-2015-review,3105,NISSHINBO HOLDINGS INC.,1
2015-12-14,post-2015-review,3289,TOKYU FUDOSAN HOLDINGS CORP.,1
2015-12-14,post-2015-review,3382,"SEVEN & I HOLDINGS CO., LTD.",1
2015-12-14,post-2015-review,3401,TEIJIN LTD.,1
2015-12-14,post-2015-review,3402,"TORAY INDUSTRIES, INC.",1
2015-12-14,post-2015-review,3405,"KURARAY CO., LTD.",1
2015-12-14,post-2015-review,3407,ASAHI KASEI CORP.,1
2015-12-14,post-2015-review,3436,SUMCO CORP.,1
2015-12-14,post-2015-review,3659,"NEXON CO., LTD.",0
2015-12-14,post-2015-review,3861,OJI HOLDINGS CORP.,1
2015-12-14,post-2015-review,3863,"NIPPON PAPER INDUSTRIES CO., LTD.",1
2015-12-14,post-2015-review,3865,"HOKUETSU KISHU PAPER CO., LTD.",1
2015-12-14,post-2015-review,4004,RESONAC HOLDINGS CORP.,1
2015-12-14,post-2015-review,4005,"SUMITOMO CHEMICAL CO., LTD.",1
2015-12-14,post-2015-review,4021,NISSAN CHEMICAL CORP.,1
2015-12-14,post-2015-review,4041,"NIPPON SODA CO., LTD.",1
2015-12-14,post-2015-review,4042,TOSOH CORP.,1
2015-12-14,post-2015-review,4043,TOKUYAMA CORP.,1
2015-12-14,post-2015-review,4061,"DENKA CO., LTD.",1
2015-12-14,post-2015-review,4063,"SHIN-ETSU CHEMICAL CO., LTD.",1
2015-12-14,post-2015-review,4151,"KYOWA KIRIN CO., LTD.",1
2015-12-14,post-2015-review,4183,"MITSUI CHEMICALS, INC.",1
2015-12-14,post-2015-review,4188,MITSUBISHI CHEMICAL GROUP CORP.,1
2015-12-14,post-2015-review,4208,UBE CORP.,1
2015-12-14,post-2015-review,4272,"NIPPON KAYAKU CO., LTD.",1
2015-12-14,post-2015-review,4307,"NOMURA RESEARCH INSTITUTE, LTD.",0
2015-12-14,post-2015-review,4324,DENTSU GROUP INC.,1
2015-12-14,post-2015-review,4385,"MERCARI, INC.",0
2015-12-14,post-2015-review,4452,KAO CORP.,1
2015-12-14,post-2015-review,4502,"TAKEDA PHARMACEUTICAL CO., LTD.",1
2015-12-14,post-2015-review,4503,ASTELLAS PHARMA INC.,1
2015-12-14,post-2015-review,4506,"SUMITOMO PHARMA CO., LTD.",1
2015-12-14,post-2015-review,4507,"SHIONOGI & CO., LTD.",1
2015-12-14,post-2015-review,4519,"CHUGAI PHARMACEUTICAL CO., LTD.",1
2015-12-14,post-2015-review,4523,"EISAI CO., LTD.",1
2015-12-14,post-2015-review,4543,TERUMO CORP.,1
2015-12-14,post-2015-review,4568,"DAIICHI SANKYO CO., LTD.",1
2015-12-14,post-2015-review,4578,"OTSUKA HOLDINGS CO., LTD.",0
2015-12-14,post-2015-review,4631,DIC CORP.,0
2015-12-14,post-2015-review,4661,"ORIENTAL LAND CO., LTD.",0
2015-12-14,post-2015-review,4689,LY CORP.,1
2015-12-14,post-2015-review,4704,TREND MICRO INC.,1
2015-12-14,post-2015-review,4751,"CYBERAGENT, INC.",0
2015-12-14,post-2015-review,4755,"RAKUTEN GROUP, INC.",0
2015-12-14,post-2015-review,4901,FUJIFILM HOLDINGS CORP.,1
2015-12-14,post-2015-review,4902,"KONICA MINOLTA, INC.",1
2015-12-14,post-2015-review,4911,"SHISEIDO CO., LTD.",1
2015-12-14,post-2015-review,5002,SHOWA SHELL SEKIYU K.K.,1
2015-12-14,post-2015-review,5019,"IDEMITSU KOSAN CO., LTD.",0
2015-12-14,post-2015-review,5020,"ENEOS HOLDINGS, INC.",1
2015-12-14,post-2015-review,5101,"THE YOKOHAMA RUBBER CO., LTD.",1
2015-12-14,post-2015-review,5108,BRIDGESTONE CORP.,1
2015-12-14,post-2015-review,5201,AGC INC.,1
2015-12-14,post-2015-review,5202,"NIPPON SHEET GLASS CO., LTD.",1
2015-12-14,post-2015-review,5214,"NIPPON ELECTRIC GLASS CO., LTD.",1
2015-12-14,post-2015-review,5232,"SUMITOMO OSAKA CEMENT CO., LTD.",1
2015-12-14,post-2015-review,5233,TAIHEIYO CEMENT CORP.,1
2015-12-14,post-2015-review,5301,"TOKAI CARBON CO., LTD.",1
2015-12-14,post-2015-review,5332,TOTO LTD.,1
2015-12-14,post-2015-review,5333,"NGK INSULATORS, LTD.",1
2015-12-14,post-2015-review,5401,NIPPON STEEL CORP.,1
2015-12-14,post-2015-review,5406,"KOBE STEEL, LTD.",1
2015-12-14,post-2015-review,5411,"JFE HOLDINGS, INC.",1
2015-12-14,post-2015-review,5413,"NISSHIN STEEL CO., LTD.",1
2015-12-14,post-2015-review,5541,"PACIFIC METALS CO., LTD.",1
2015-12-14,post-2015-review,5631,"THE JAPAN STEEL WORKS, LTD.",1
2015-12-14,post-2015-review,5703,"NIPPON LIGHT METAL HOLDINGS CO., LTD.",1
2015-12-14,post-2015-review,5706,MITSUI MINING & SMELTING CO.,1
2015-12-14,post-2015-review,5707,"TOHO ZINC CO., LTD.",1
2015-12-14,post-2015-review,5711,MITSUBISHI MATERIALS CORP.,1
2015-12-14,post-2015-review,5713,"SUMITOMO METAL MINING CO., LTD.",1
2015-12-14,post-2015-review,5714,"DOWA HOLDINGS CO., LTD.",1
2015-12-14,post-2015-review,5715,"FURUKAWA CO., LTD.",1
2015-12-14,post-2015-review,5801,"FURUKAWA ELECTRIC CO., LTD.",1
2015-12-14,post-2015-review,5802,"SUMITOMO ELECTRIC IND., LTD.",1
2015-12-14,post-2015-review,5803,FUJIKURA LTD.,1
2015-12-14,post-2015-review,5831,"SHIZUOKA FINANCIAL GROUP, INC.",0
2015-12-14,post-2015-review,5901,"TOYO SEIKAN GROUP HOLDINGS, LTD.",1
2015-12-14,post-2015-review,6098,"RECRUIT HOLDINGS CO., LTD.",0
2015-12-14,post-2015-review,6103,OKUMA CORP.,1
2015-12-14,post-2015-review,6113,"AMADA CO., LTD.",1
2015-12-14,post-2015-review,6146,DISCO CORP.,0
2015-12-14,post-2015-review,6178,"JAPAN POST HOLDINGS CO., LTD.",0
2015-12-14,post-2015-review,6273,SMC CORP.,0
2015-12-14,post-2015-review,6301,KOMATSU LTD.,1
2015-12-14,post-2015-review,6302,"SUMITOMO HEAVY IND., LTD.",1
2015-12-14,post-2015-review,6305,"HITACHI CONST. MACH. CO., LTD.",1
