detected_between,approx_date,ticker,company_name,change_type,from_snapshot,to_snapshot
2015-12-14 → 2016-09-09,2016-09-09,7186,"CONCORDIA FINANCIAL GROUP, LTD.",ADDED,post-2015-review,pre-2016-review
2015-12-14 → 2016-09-09,2016-09-09,7272,"YAMAHA MOTOR CO., LTD.",ADDED,post-2015-review,pre-2016-review
2015-12-14 → 2016-09-09,2016-09-09,8028,"FAMILYMART UNY HOLDINGS CO., LTD.",ADDED,post-2015-review,pre-2016-review
2015-12-14 → 2016-09-09,2016-09-09,6753,SHARP CORP.,REMOVED,post-2015-review,pre-2016-review
2015-12-14 → 2016-09-09,2016-09-09,8270,"UNY GROUP HOLDINGS CO., LTD.",REMOVED,post-2015-review,pre-2016-review
2015-12-14 → 2016-09-09,2016-09-09,8332,"THE BANK OF YOKOHAMA, LTD.",REMOVED,post-2015-review,pre-2016-review
2016-09-09 → 2016-11-19,2016-11-19,4755,"RAKUTEN, INC.",ADDED,pre-2016-review,post-2016-review
2016-09-09 → 2016-11-19,2016-11-19,4041,"NIPPON SODA CO., LTD.",REMOVED,pre-2016-review,post-2016-review
2016-11-19 → 2017-09-01,2017-09-01,4578,"OTSUKA HOLDINGS CO., LTD.",ADDED,post-2016-review,pre-2017-review
2016-11-19 → 2017-09-01,2017-09-01,6724,SEIKO EPSON CORP.,ADDED,post-2016-review,pre-2017-review
2016-11-19 → 2017-09-01,2017-09-01,6502,TOSHIBA CORP.,REMOVED,post-2016-review,pre-2017-review
2016-11-19 → 2017-09-01,2017-09-01,6767,"MITSUMI ELECTRIC CO., LTD.",REMOVED,post-2016-review,pre-2017-review
2017-09-01 → 2018-02-03,2018-02-03,6098,"RECRUIT HOLDINGS CO., LTD.",ADDED,pre-2017-review,post-2017-review
2017-09-01 → 2018-02-03,2018-02-03,6178,"JAPAN POST HOLDINGS CO., LTD.",ADDED,pre-2017-review,post-2017-review
2017-09-01 → 2018-02-03,2018-02-03,3865,"HOKUETSU KISHU PAPER CO., LTD.",REMOVED,pre-2017-review,post-2017-review
2017-09-01 → 2018-02-03,2018-02-03,6508,MEIDENSHA CORP.,REMOVED,pre-2017-review,post-2017-review
2018-02-03 → 2019-07-16,2019-07-16,4631,DIC CORP.,ADDED,post-2017-review,post-2018-review
